,business_name,telephone,business_page,rank,category,website,rating,street,locality,region,zipcode,listing_url,keyword,Address,x,y,STATE,GEOID,BLOCK,TRACT,geometry
29,Ezpawn,(708) 924-4091,https://www.yellowpages.com/summit-argo-il/mip/ezpawn-461923069,120. ,"Pawnbrokers,Gold, Silver & Platinum Buyers & Dealers,Loans",https://stores.ezpawn.com/il/summit-argo/6153-s--archer-road.html,,6153 S Archer Rd,"Summit Argo, IL 60501",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=4",pawnshop,"6153 S Archer Rd Summit Argo, IL 60501",-87.81311,41.77948,NS,17,1029,820400,POINT (-87.81310999999999 41.77948)
0,A Pawn Shop,(708) 442-5700,https://www.yellowpages.com/riverside-il/mip/a-pawn-shop-532553775,121. ,Pawnbrokers,,,7361 W 25th St,"Riverside, IL 60546",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"7361 W 25th St Riverside, IL 60546",-87.80719,41.846867,NS,17,1001,815600,POINT (-87.80719000000001 41.846867)
1,Hourglass Antiques,(708) 660-1003,https://www.yellowpages.com/oak-park-il/mip/hourglass-antiques-463895273,122. ,Pawnbrokers,,,118 N Oak Park Ave,"Oak Park, IL 60301",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"118 N Oak Park Ave Oak Park, IL 60301",,,,,,,POINT (nan nan)
2,Economy Shop,(708) 383-2449,https://www.yellowpages.com/oak-park-il/mip/economy-shop-10946621,123. ,Pawnbrokers,http://www.economyshop.org,,103 S Grove Ave,"Oak Park, IL 60302",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"103 S Grove Ave Oak Park, IL 60302",-87.79581,41.886703,NS,17,2002,812802,POINT (-87.79581 41.886703)
3,All Star Jewelry & Pawn,(708) 442-0504,https://www.yellowpages.com/lyons-il/mip/all-star-jewelry-pawn-504536763,124. ,Pawnbrokers,,,7949 Ogden Ave,"Lyons, IL 60534",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"7949 Ogden Ave Lyons, IL 60534",-87.82007,41.819714,NS,17,3010,819100,POINT (-87.82007 41.819714)
5,A-1 American Jewelers & Pawns,(708) 383-1131,https://www.yellowpages.com/oak-park-il/mip/a-1-american-jewelers-pawns-462348210,126. ,"Pawnbrokers,Coin Dealers & Supplies,Loans",http://www.a1americanpawnshop.com,,6151 North Ave,"Oak Park, IL 60302",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"6151 North Ave Oak Park, IL 60302",,,,,,,POINT (nan nan)
6,Cash N Go Pawnshop,(708) 594-8500,https://www.yellowpages.com/summit-argo-il/mip/cash-n-go-pawnshop-474589167,127. ,Pawnbrokers,http://www.cashngopawnsummit.com,,6235 S Archer Rd,"Summit Argo, IL 60501",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"6235 S Archer Rd Summit Argo, IL 60501",-87.81366,41.777866,NS,17,1017,820400,POINT (-87.81366 41.777866)
7,Cash N Go,(708) 594-8500,https://www.yellowpages.com/summit-argo-il/mip/cash-n-go-454622351,128. ,"Pawnbrokers,Check Cashing Service,Coin Dealers & Supplies",http://stores.ebay.com/cash-n-go-pawn-summit,,5724 S Harlem Ave,"Summit Argo, IL 60501",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"5724 S Harlem Ave Summit Argo, IL 60501",-87.80133,41.78717,NS,17,4000,820300,POINT (-87.80132999999999 41.78717)
8,Cash America Pawn,(708) 848-0666,https://www.yellowpages.com/oak-park-il/mip/cash-america-pawn-470805199,129. ,"Pawnbrokers,Loans,Check Cashing Service",http://www.cashamerica.com,,6303 North Ave,"Oak Park, IL 60302",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"6303 North Ave Oak Park, IL 60302",,,,,,,POINT (nan nan)
10,R & J Jewelers & Pawners Inc,(708) 788-2340,https://www.yellowpages.com/berwyn-il/mip/r-j-jewelers-pawners-inc-5575731,131. ,"Pawnbrokers,Jewelers,Jewelers-Wholesale & Manufacturers",http://www.rjjewelryandloan.com,4,7031 Roosevelt Rd,"Berwyn, IL 60402",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"7031 Roosevelt Rd Berwyn, IL 60402",-87.800476,41.865032,NS,17,4001,814700,POINT (-87.800476 41.865032)
11,Hollywood Pawners,(708) 383-2233,https://www.yellowpages.com/oak-park-il/mip/hollywood-pawners-7165218,132. ,"Pawnbrokers,Jewelers",,,6147 North Ave,"Oak Park, IL 60302",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"6147 North Ave Oak Park, IL 60302",-87.780365,41.909187,NS,17,5000,812100,POINT (-87.780365 41.909187)
12,Gold Elite Jewelers & Loans,(708) 730-2523,https://www.yellowpages.com/broadview-il/mip/gold-elite-jewelers-loans-2049330?lid=1000730857154,133. ,"Pawnbrokers,Jewelers",http://welendcashonstuff.com/index.html,,1824 W Roosevelt Rd,"Broadview, IL 60155",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"1824 W Roosevelt Rd Broadview, IL 60155",-87.854614,41.864014,NS,17,5023,817900,POINT (-87.854614 41.864014)
13,Action Pawn Inc,(847) 929-9885,https://www.yellowpages.com/franklin-park-il/mip/action-pawn-inc-2225540,134. ,"Pawnbrokers,Jewelers-Wholesale & Manufacturers,Watches",http://www.actionpawnloans.com,,10011 Grand Ave,"Franklin Park, IL 60131",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"10011 Grand Ave Franklin Park, IL 60131",,,,,,,POINT (nan nan)
14,Stone Park Gold Inc,(708) 450-0002,https://www.yellowpages.com/maywood-il/mip/stone-park-gold-inc-504278019,135. ,Pawnbrokers,,,1300 Saint Charles Rd,"Maywood, IL 60153",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"1300 Saint Charles Rd Maywood, IL 60153",-87.849266,41.888046,NS,17,1001,817300,POINT (-87.849266 41.888046)
15,Hope Chest,(708) 482-0359,https://www.yellowpages.com/la-grange-il/mip/hope-chest-519900449,136. ,Pawnbrokers,http://www.pillarscommunity.org,,305 W Hillgrove Ave,"La Grange, IL 60525",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"305 W Hillgrove Ave La Grange, IL 60525",-87.87362,41.81551,NS,17,1012,819500,POINT (-87.87362 41.81551)
16,Ezpawn,(708) 410-1782,https://www.yellowpages.com/stone-park-il/mip/ezpawn-475035540,137. ,"Pawnbrokers,Gold, Silver & Platinum Buyers & Dealers,Loans",https://stores.ezpawn.com/il/stone-park/3116-w--north-ave.html,,3116 W North Ave,"Stone Park, IL 60165",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"3116 W North Ave Stone Park, IL 60165",-87.87159,41.907516,NS,17,1015,816600,POINT (-87.87159 41.907516)
17,Oak Lawn Jewelry and Appraisals,(630) 852-7002,https://www.yellowpages.com/oak-lawn-il/mip/oak-lawn-jewelry-and-appraisals-456626560,138. ,"Pawnbrokers,Gold, Silver & Platinum Buyers & Dealers,Jewelry Buyers",http://goldpro.org,2,6615 W 95th St Ste C,"Oak Lawn, IL 60453",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"6615 W 95th St Ste C Oak Lawn, IL 60453",-87.78545,41.719498,NS,17,3000,822400,POINT (-87.78545 41.719498)
18,Village Jewelry & Loan Ltd,(708) 343-2211,https://www.yellowpages.com/melrose-park-il/mip/village-jewelry-loan-ltd-1965373,139. ,"Pawnbrokers,Jewelers,Jewelers-Wholesale & Manufacturers",http://www.villagejewelryloan.com,,2310 W North Ave,"Melrose Park, IL 60160",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"2310 W North Ave Melrose Park, IL 60160",,,,,,,POINT (nan nan)
19,Fast Cash for Gold-Norridge,(630) 422-1373,https://www.yellowpages.com/norridge-il/mip/fast-cash-for-gold-norridge-462468567,140. ,"Pawnbrokers,Jewelry Buyers,Check Cashing Service",,,7614 W Irving Park Rd,"Norridge, IL 60706",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"7614 W Irving Park Rd Norridge, IL 60706",-87.817726,41.952522,NS,17,5016,810502,POINT (-87.81772599999999 41.952522)
20,Cash America,(847) 916-1138,https://www.yellowpages.com/franklin-park-il/mip/cash-america-503115394,141. ,"Pawnbrokers,Loans,Check Cashing Service",http://www.cashamerica.com,,2727 Mannheim Rd,"Franklin Park, IL 60131",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"2727 Mannheim Rd Franklin Park, IL 60131",-87.88463,41.929478,NS,17,2008,811402,POINT (-87.88463 41.929478)
21,Melrose Cash Express,(708) 345-1020,https://www.yellowpages.com/melrose-park-il/mip/melrose-cash-express-12279449,142. ,"Pawnbrokers,Jewelers,Jewelers-Wholesale & Manufacturers",http://www.melrosecashexpress.com,1,110 N 19th Ave,"Melrose Park, IL 60160",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"110 N 19th Ave Melrose Park, IL 60160",-87.85657,41.89143,NS,17,4010,816401,POINT (-87.85657 41.89143)
22,PGS Gold & Coin,(847) 513-9364,https://www.yellowpages.com/schaumburg-il/mip/pgs-gold-coin-538494574?lid=1001844876325,143. ,"Pawnbrokers,Diamonds,Collectibles",http://www.pgsgoldandcoin.com,,900 S Roselle Rd,"Schaumburg, IL 60193",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=5",pawnshop,"900 S Roselle Rd Schaumburg, IL 60193",-88.08004,42.01084,NS,17,3010,804810,POINT (-88.08004 42.01084)
0,First American Cash Advance,(773) 672-4834,https://www.yellowpages.com/chicago-il/mip/first-american-cash-advance-23231056?lid=1001400514092,1. ,"Financial Services,Check Cashing Service,Loans",http://www.cashcitypayday.com,,10503 S Western Ave,"Chicago, IL 60643",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=1",cash advance,"10503 S Western Ave Chicago, IL 60643",-87.68149,41.702557,NS,17,2012,720600,POINT (-87.68149 41.702557)
4,PLS Loan Store,(773) 493-3000,https://www.yellowpages.com/chicago-il/mip/pls-loan-store-2895050,35. ,"Alternative Loans,Financial Services,Check Cashing Service",http://www.citysearch.com/profile/36789548/chicago_il/pls_loan_store.html,,2132 E 71st St,"Chicago, IL 60649",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"2132 E 71st St Chicago, IL 60649",,,,,,,POINT (nan nan)
5,PLS Loan Store,(773) 345-5848,https://www.yellowpages.com/chicago-il/mip/pls-loan-store-463899121,36. ,"Check Cashing Service,Loans,Tax Return Preparation",http://plscheck.com,1,1617 N Cicero Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"1617 N Cicero Ave Chicago, IL 60639",-87.746,41.910458,NS,17,1007,831300,POINT (-87.746 41.910458)
6,Illinois Lending Corp,(312) 263-1400,https://www.yellowpages.com/chicago-il/mip/illinois-lending-corp-465850430,37. ,"Loans,Financing Services,Check Cashing Service",http://expressloansofamerica.com,,100 W Randolph St Lowr 111,"Chicago, IL 60601",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"100 W Randolph St Lowr 111 Chicago, IL 60601",-87.63106,41.884483,NS,17,1019,839100,POINT (-87.63106000000001 41.884483)
7,Devon-Central Currency Exchange Inc,(773) 763-3183,https://www.yellowpages.com/chicago-il/mip/devon-central-currency-exchange-inc-9216061,38. ,"Currency Exchanges,Check Cashing Service",,1,5429 W Devon Ave,"Chicago, IL 60646",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"5429 W Devon Ave Chicago, IL 60646",-87.76425,41.997322,NS,17,1026,120200,POINT (-87.76425 41.997322)
10,26th & Central Park Currency,(773) 762-8330,https://www.yellowpages.com/chicago-il/mip/26th-central-park-currency-2090476,41. ,Check Cashing Service,http://perladental.com,1,3540 W 26th St,"Chicago, IL 60623",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"3540 W 26th St Chicago, IL 60623",-87.71396,41.844402,NS,17,2006,300700,POINT (-87.71396 41.844402)
11,Check Changers,(773) 722-6100,https://www.yellowpages.com/chicago-il/mip/check-changers-530042917,42. ,Check Cashing Service,,1,3938 W Madison St,"Chicago, IL 60624",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"3938 W Madison St Chicago, IL 60624",-87.72425,41.880753,NS,17,1014,260100,POINT (-87.72425 41.880753)
12,Digital Currency System,(708) 400-6221,https://www.yellowpages.com/chicago-il/mip/digital-currency-system-5937192,43. ,Check Cashing Service,,1,4801 W Madison St,"Chicago, IL 60644",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"4801 W Madison St Chicago, IL 60644",-87.745476,41.88049,NS,17,4000,252202,POINT (-87.745476 41.88049)
13,CFSC Currency Exchange Wilson & Broadway,(773) 561-0026,https://www.yellowpages.com/chicago-il/mip/cfsc-currency-exchange-wilson-broadway-7105029,44. ,Check Cashing Service,https://locations.cfsc.com/cfsc-currency-exchange-024a624ed26e?y_source=1_MTU0MzQyODktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,1,4559 N Broadway St,"Chicago, IL 60640",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"4559 N Broadway St Chicago, IL 60640",-87.65713,41.964863,NS,17,4001,830700,POINT (-87.65713 41.964863)
14,Oak Park & Belmont Currency,(773) 427-5690,https://www.yellowpages.com/chicago-il/mip/oak-park-belmont-currency-16641014,45. ,"Check Cashing Service,Currency Exchanges,Polishes",http://mycurrencyexchange.com,1,6756 W Belmont Ave,"Chicago, IL 60634",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"6756 W Belmont Ave Chicago, IL 60634",-87.79494,41.938175,NS,17,3021,171000,POINT (-87.79494 41.938175)
15,47th & Cotttage Currency Exchange,(773) 624-3600,https://www.yellowpages.com/chicago-il/mip/47th-cotttage-currency-exchange-28583355,46. ,Check Cashing Service,http://mycurrencyexchange.com,2,4638 S Cottage Grove Ave,"Chicago, IL 60653",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"4638 S Cottage Grove Ave Chicago, IL 60653",-87.6066,41.810825,NS,17,2000,843600,POINT (-87.6066 41.810825)
16,Scottsdale Currency Exchange,(773) 767-2965,https://www.yellowpages.com/chicago-il/mip/scottsdale-currency-exchange-14144977,47. ,Check Cashing Service,,2,8063 S Cicero Ave,"Chicago, IL 60652",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"8063 S Cicero Ave Chicago, IL 60652",-87.74126,41.746418,NS,17,3003,700301,POINT (-87.74126 41.746418)
17,New 79th Rhodes Currency Exchange,(773) 224-7777,https://www.yellowpages.com/chicago-il/mip/new-79th-rhodes-currency-exchange-2326224,48. ,Check Cashing Service,http://www.cfsc.com,1,531 E 79th St,"Chicago, IL 60619",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"531 E 79th St Chicago, IL 60619",-87.61134,41.751175,NS,17,2002,440201,POINT (-87.61134 41.751175)
18,Kedzie Irving Currency Exchange,(773) 539-8991,https://www.yellowpages.com/chicago-il/mip/kedzie-irving-currency-exchange-18357868,49. ,"Currency Exchanges,Financial Services,Check Cashing Service",http://cash2gofinancial.com,1,3158 W Irving Park Rd,"Chicago, IL 60618",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"3158 W Irving Park Rd Chicago, IL 60618",-87.70756,41.953926,NS,17,2006,160602,POINT (-87.70756 41.953926)
19,Order Express Inc,(773) 465-4498,https://www.yellowpages.com/chicago-il/mip/order-express-inc-12799583,50. ,"Money Order Service,Check Cashing Service",http://orderexpress.com,1,6728 N Clark St,"Chicago, IL 60626",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"6728 N Clark St Chicago, IL 60626",-87.672585,42.0038,NS,17,2002,830600,POINT (-87.672585 42.0038)
20,New Ogden Milwaukee Currency Inc.,(312) 666-0988,https://www.yellowpages.com/chicago-il/mip/new-ogden-milwaukee-currency-inc-4139525,51. ,"Check Cashing Service,Currency Exchanges,License Services",http://chicagomilwaukeecurrencyexchange.com,,800 N Milwaukee Ave,"Chicago, IL 60642",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"800 N Milwaukee Ave Chicago, IL 60642",,,,,,,POINT (nan nan)
23,USA Pay Day Loan,(773) 427-1981,https://www.yellowpages.com/chicago-il/mip/usa-pay-day-loan-7239353,54. ,"Check Cashing Service,Loans,Financial Services",,,4124 N Milwaukee Ave,"Chicago, IL 60641",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"4124 N Milwaukee Ave Chicago, IL 60641",-87.75036,41.955868,NS,17,1028,150200,POINT (-87.75036 41.955868)
24,LendNation,(773) 247-7300,https://www.yellowpages.com/chicago-il/mip/lendnation-548294568,55. ,"Money Order Service,Check Cashing Service,Financial Services",https://www.lendnation.com/location/il/chicago/3168-s-ashland-ave-0451,,3168 S Ashland Ave,"Chicago, IL 60608",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"3168 S Ashland Ave Chicago, IL 60608",-87.66571,41.835964,NS,17,1016,840400,POINT (-87.66571 41.835964)
25,Loop II Currency Exchange,(312) 236-4811,https://www.yellowpages.com/chicago-il/mip/loop-ii-currency-exchange-531464463,56. ,"Currency Exchanges,Check Cashing Service,Financial Services",https://www.loopcurrencyexchangechicago.com,,100 W Randolph St,"Chicago, IL 60601",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"100 W Randolph St Chicago, IL 60601",-87.63106,41.884483,NS,17,1019,839100,POINT (-87.63106000000001 41.884483)
28,Devon Financial Services,(773) 432-0070,https://www.yellowpages.com/chicago-il/mip/devon-financial-services-503041043,59. ,"Financial Services,Check Cashing Service,Loans",http://www.dfsloanschicago.com,,2754 W 63rd St,"Chicago, IL 60629",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"2754 W 63rd St Chicago, IL 60629",-87.69285,41.77913,NS,17,3017,835000,POINT (-87.69285000000001 41.77913)
29,Checkexpress,(773) 384-3211,https://www.yellowpages.com/chicago-il/mip/checkexpress-473853892,60. ,"Currency Exchanges,Check Cashing Service,Loans",http://www.mycheckexpress.com,,2802 N Western Ave,"Chicago, IL 60618",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=2",cash advance,"2802 N Western Ave Chicago, IL 60618",-87.687935,41.933155,NS,17,1034,210900,POINT (-87.687935 41.933155)
0,Check N' Go,(773) 224-6000,https://www.yellowpages.com/chicago-il/mip/check-n-go-21946484,61. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,2003 W 79th St,"Chicago, IL 60620",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=3",cash advance,"2003 W 79th St Chicago, IL 60620",-87.67448,41.750214,NS,17,4002,710500,POINT (-87.67448 41.750214)
26,PLS Check Cashing Store,(773) 523-2111,https://www.yellowpages.com/chicago-il/mip/pls-check-cashing-store-471003805,87. ,"Check Cashing Service,Tax Return Preparation,Loans",http://plscheck.com,,4655 S Ashland Ave,"Chicago, IL 60609",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=3",cash advance,"4655 S Ashland Ave Chicago, IL 60609",-87.664986,41.809307,NS,17,2033,842600,POINT (-87.664986 41.809307)
28,PLS Check Cashing Store,(773) 346-1100,https://www.yellowpages.com/chicago-il/mip/pls-check-cashing-store-116965,89. ,"Check Cashing Service,Tax Return Preparation,Loans",http://plscheck.com,,2400 W 47th St,"Chicago, IL 60632",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=3",cash advance,"2400 W 47th St Chicago, IL 60632",-87.68448,41.808434,NS,17,1006,580800,POINT (-87.68447999999999 41.808434)
29,Pls,(773) 342-0995,https://www.yellowpages.com/chicago-il/mip/pls-17355,90. ,"Check Cashing Service,Tax Return Preparation,Loans",http://plscheck.com,,4400 W Armitage Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=3",cash advance,"4400 W Armitage Ave Chicago, IL 60639",-87.73643,41.91705,NS,17,1012,200401,POINT (-87.73643 41.91705)
0,PLS Check Cashing Store,(773) 237-1306,https://www.yellowpages.com/chicago-il/mip/pls-check-cashing-store-456141248,91. ,"Check Cashing Service,Tax Return Preparation,Loans",http://plscheck.com,,5200 W North Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"5200 W North Ave Chicago, IL 60639",-87.75588,41.909504,NS,17,2017,250300,POINT (-87.75588 41.909504)
1,PLS Check Cashing Store,(773) 489-1552,https://www.yellowpages.com/chicago-il/mip/pls-check-cashing-store-92018,92. ,"Check Cashing Service,Tax Return Preparation,Loans",http://plscheck.com,,4400 W Diversey Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"4400 W Diversey Ave Chicago, IL 60639",-87.736916,41.931667,NS,17,2019,200100,POINT (-87.73691599999999 41.931667)
6,PLS Check Cashers,(773) 254-5400,https://www.yellowpages.com/chicago-il/mip/pls-check-cashers-95346,97. ,"Check Cashing Service,Loans,Tax Return Preparation",http://plscheck.com,,1958 W Cermak Rd,"Chicago, IL 60608",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"1958 W Cermak Rd Chicago, IL 60608",-87.67483,41.852196,NS,17,2008,310900,POINT (-87.67483 41.852196)
9,PLS Check Cashing Store,(773) 523-4466,https://www.yellowpages.com/chicago-il/mip/pls-check-cashing-store-13538,100. ,"Check Cashing Service,Tax Return Preparation,Loans",http://plscheck.com,,4134 S Archer Ave,"Chicago, IL 60632",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"4134 S Archer Ave Chicago, IL 60632",-87.69732,41.818344,NS,17,2005,580501,POINT (-87.69732 41.818344)
11,Cash America Pawn,(773) 257-0987,https://www.yellowpages.com/chicago-il/mip/cash-america-pawn-478364278,102. ,"Loans,Check Cashing Service,Gold, Silver & Platinum Buyers & Dealers",http://www.cashamerica.com,,3600 W 26th St,"Chicago, IL 60623",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"3600 W 26th St Chicago, IL 60623",-87.714836,41.84439,NS,17,2015,300600,POINT (-87.71483600000001 41.84439)
12,PLS Check Cashers,(773) 522-2525,https://www.yellowpages.com/chicago-il/mip/pls-check-cashers-15130,103. ,"Check Cashing Service,Tax Return Preparation,Loans",http://plscheck.com,,4004 W 26th St,"Chicago, IL 60623",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"4004 W 26th St Chicago, IL 60623",-87.72491,41.844257,NS,17,1012,301802,POINT (-87.72490999999999 41.844257)
17,PLS Check Cashers,(773) 528-8105,https://www.yellowpages.com/chicago-il/mip/pls-check-cashers-115489,108. ,"Check Cashing Service,Tax Return Preparation,Loans",http://plscheck.com,,3601 N Western Ave,"Chicago, IL 60618",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"3601 N Western Ave Chicago, IL 60618",-87.688255,41.946877,NS,17,5003,050500,POINT (-87.688255 41.946877)
19,Thillens,(773) 539-4444,https://www.yellowpages.com/chicago-il/mip/thillens-4186162,110. ,Check Cashing Service,http://www.thillens.com,,4242 N Elston Ave,"Chicago, IL 60618",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"4242 N Elston Ave Chicago, IL 60618",-87.72558,41.958088,NS,17,3021,160400,POINT (-87.72557999999999 41.958088)
20,LendNation,(773) 271-3595,https://www.yellowpages.com/chicago-il/mip/lendnation-558975181,111. ,"Money Order Service,Check Cashing Service,Financial Services",https://www.lendnation.com/location/il/chicago/4853-n-broadway-st-3376,,4853 N Broadway St,"Chicago, IL 60640",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"4853 N Broadway St Chicago, IL 60640",-87.659706,41.970585,NS,17,2003,031200,POINT (-87.659706 41.970585)
21,Checkexpress,(847) 561-5013,https://www.yellowpages.com/chicago-il/mip/checkexpress-480693504,112. ,Check Cashing Service,http://mycheckexpress.com,,5056 N Sheridan Rd,"Chicago, IL 60640",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"5056 N Sheridan Rd Chicago, IL 60640",-87.654976,41.97467,NS,17,4001,031200,POINT (-87.654976 41.97467)
22,LendNation,(773) 279-1880,https://www.yellowpages.com/chicago-il/mip/lendnation-558975166,113. ,"Money Order Service,Check Cashing Service,Financial Services",https://www.lendnation.com/location/il/chicago/4705-n-pulaski-3373,,4705 N Pulaski Rd,"Chicago, IL 60630",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"4705 N Pulaski Rd Chicago, IL 60630",-87.727974,41.96662,NS,17,1012,140601,POINT (-87.727974 41.96662)
23,PLS Check Cashers,(773) 777-9977,https://www.yellowpages.com/chicago-il/mip/pls-check-cashers-99770,114. ,"Check Cashing Service,Tax Return Preparation,Loans",http://plscheck.com,,4835 N Milwaukee Ave,"Chicago, IL 60630",,,"https://www.yellowpages.com/search?search_terms=cash%20advance&geo_location_terms=Chicago,%20IL&page=4",cash advance,"4835 N Milwaukee Ave Chicago, IL 60630",-87.76132,41.968563,NS,17,2030,110502,POINT (-87.76132 41.968563)
